Voice Name (Persona),Category,Script Text,FILENAME,Question Only,Answer Only,Stability,Similarity,Style
Uncle Bull Balladeer,PREVIEW,"[warmly] Well now, gather 'round folks![short pause] If you are looking for a bingo night that goes down smoother than sweet tea on a porch swing, you found your man![short pause] I'm Uncle Bull, and I bring that deep, Southern comfort right to your game![short pause] I take my time, so you never feel rushed checkin' those cards![short pause] Let's play some good old fashion bingo, the right way......LOW...and...SLOW![long pause]",_00_PREVIEW_START_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"[warmly] Well now, gather 'round![short pause] It's about that time![short pause] We're switchin' gears for this next game to Country Hits Trivia Bingo, presented by AMI Entertainment![short pause] Instead of regular numbers, I'm gonna be testin' your knowledge and callin' out trivia questions, and all the answers are mixed up right there on your cards![short pause] Tonight is all about celebratin' the best of country music, but don't worry if you ain't a Nashville historian![short pause] This is all about havin' fun, so everybody's got a shot![short pause] I'll be callin' out each question three times, and give y'all plenty of time to figure it out and mark your squares![short pause] And, tonight we're keepin' things casual, so if you're stumped, I'll even call out the answer before movin' onto the next question![short pause] Don't be shy about askin' your friends and neighbors for help, we're all in this together![short pause] If you ain't got a card yet, go ahead and wave down your host, and make sure you ask 'em what the winning pattern is tonight![short pause] Alright, let's see who the lucky ones are, 'cause here we go!",00_HOST_1_START_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"[warmly] Five questions down! [short pause] We're just gettin' the dust off our boots! [short pause] If you just walked in, grab a card from your host and jump right in! [short pause] Ask your neighbors for the answers if you need to catch up!",00_HOST_5_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,[warmly] Alright that’s fifteen questions in the books! [short pause] Y'all are lookin' mighty focused out there! [short pause] Remember to lean on your tablemates if you get stuck on a tough one!,00_HOST_15_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,[warmly] That's twenty-five questions! [short pause] Somebody out there's gotta be gettin' close to a bingo! [short pause] Let us hear ya if you're one away! [short pause] And keep askin' your neighbors for help!,00_HOST_25_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,[warmly] Look at that! We are at thirty-five questions! [short pause] We are halfway down the trail! [short pause] Check your boards and make sure you ain't missed any of those answers!,00_HOST_35_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,[warmly] We're almost there! Fifty-five questions! [short pause] The tension is gettin' high in here! [short pause] Keep those eyes on the board and holler if you need help from your neighbors!,00_HOST_55_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,HOST AUDIO,"[warmly] Well, that's all seventy-five questions! [short pause] The hopper is completely empty! [short pause] Thanks for playin' Country Hits Trivia Bingo with us tonight, powered by AMI Entertainment! [short pause] Stick around, we'll have more fun comin' up real soon!",00_HOST_75_SONGS_IN_UNCLE_BULL,,,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"[warmly] What famous Memphis mansion did Elvis Presley call home?![long pause] Second time around, we're lookin' for what was the name of Elvis's house?![long pause] Last call! [short pause] What famous Memphis mansion did Elvis Presley call home?![long pause] You should be lookin' for Graceland! [short pause] That's Graceland! [amazed] He bought the massive estate back in 1957 when he was just twenty-two years old!",Graceland_UNCLE_BULL,What famous Memphis mansion did Elvis Presley call home?,Graceland,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"[warmly] What city is famously known around the world as Music City?![long pause] For the second time, what city is called Music City?![long pause] Final time on this one! [short pause] What city is famously known around the world as Music City?![long pause] The answer we're lookin' for is Nashville! [short pause] That's Nashville! [chuckling] It has been the ultimate home of country music for over a century!",Nashville_UNCLE_BULL,What city is famously known around the world as Music City?,Nashville,0.8,0.8,0
